epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1643,1.22497,0.6,1,0.91699,9.282e-05,9.282e-05,9.282e-05
2,13.8801,0.64207,0.73333,1,0.69629,0.000186418,0.000186418,0.000186418
3,15.5612,0.42041,0.73333,1,0.41699,0.000273419,0.000273419,0.000273419
4,17.2599,0.35116,0.86667,1,0.45435,0.000353823,0.000353823,0.000353823
5,19.0573,0.38439,0.86667,1,0.24438,0.000427629,0.000427629,0.000427629
6,20.8594,0.34082,0.93333,1,0.10608,0.000494838,0.000494838,0.000494838
7,22.7935,0.20831,0.93333,1,0.09338,0.000555449,0.000555449,0.000555449
8,24.7419,0.20267,0.96667,1,0.11084,0.000549066,0.000549066,0.000549066
9,26.6263,0.16363,0.93333,1,0.10339,0.000525504,0.000525504,0.000525504
10,28.5813,0.1514,0.96667,1,0.14355,0.000501942,0.000501942,0.000501942
11,30.6252,0.11228,0.93333,1,0.19238,0.00047838,0.00047838,0.00047838
12,32.1939,0.10483,0.93333,1,0.11383,0.000454818,0.000454818,0.000454818
13,34.4117,0.08397,0.96667,1,0.05807,0.000431256,0.000431256,0.000431256
14,36.4571,0.07883,1,1,0.01494,0.000407694,0.000407694,0.000407694
15,38.5985,0.07751,0.96667,1,0.03839,0.000384132,0.000384132,0.000384132
16,40.1564,0.06625,0.96667,1,0.03589,0.00036057,0.00036057,0.00036057
17,42.2166,0.09336,1,1,0.00718,0.000337008,0.000337008,0.000337008
18,44.1734,0.08633,1,1,0.00577,0.000313446,0.000313446,0.000313446
19,46.3617,0.11179,1,1,0.00655,0.000289884,0.000289884,0.000289884
20,48.214,0.05203,1,1,0.01025,0.000266322,0.000266322,0.000266322
21,59.108,0.11478,1,1,0.01637,0.00024276,0.00024276,0.00024276
22,61.1807,0.05006,0.96667,1,0.07361,0.000219198,0.000219198,0.000219198
23,63.0591,0.04143,0.96667,1,0.05499,0.000195636,0.000195636,0.000195636
24,64.8833,0.03817,1,1,0.02417,0.000172074,0.000172074,0.000172074
25,67.1104,0.01715,1,1,0.02138,0.000148512,0.000148512,0.000148512
26,69.3206,0.0319,1,1,0.02406,0.00012495,0.00012495,0.00012495
27,71.4079,0.02675,1,1,0.01627,0.000101388,0.000101388,0.000101388
28,73.1267,0.03382,1,1,0.01493,7.7826e-05,7.7826e-05,7.7826e-05
29,75.1935,0.02488,1,1,0.0118,5.4264e-05,5.4264e-05,5.4264e-05
30,77.3706,0.03883,1,1,0.00963,3.0702e-05,3.0702e-05,3.0702e-05
