epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53578,1.70108,5.97772,2.94354,1.77341,0.0087,0.92857,0.0879,0.03697,0.00803,0.85714,0.04939,0.01936,1.21989,3.27425,2.87782,1.50314,8e-05,8e-05,8e-05
2,46.5726,1.70704,4.98032,3.00148,1.74645,0.00899,0.92857,0.27066,0.20396,0.00899,0.92857,0.25481,0.15384,1.15303,2.72232,2.85299,1.29734,0.000179406,0.000179406,0.000179406
3,48.1055,1.54582,3.90401,2.80338,1.55984,0.00915,1,0.44206,0.31007,0.0085,0.92857,0.43,0.26304,1.17378,2.41111,2.60406,1.22122,0.000278152,0.000278152,0.000278152
4,49.6325,1.39069,3.24662,2.60106,1.40972,0.00852,1,0.62511,0.39355,0.00852,1,0.63503,0.34765,1.21823,2.20719,2.52647,1.15474,0.000376238,0.000376238,0.000376238
5,51.1797,1.32433,2.8824,2.36138,1.34919,0.00697,1,0.74984,0.45902,0.00697,1,0.82522,0.4029,1.21148,2.81821,2.44347,1.17872,0.000473664,0.000473664,0.000473664
6,52.8879,1.27405,2.9538,2.14739,1.33857,0.00668,1,0.83512,0.51501,0.00668,1,0.82491,0.42812,1.15594,2.88631,2.38803,1.20781,0.00057043,0.00057043,0.00057043
7,54.6171,1.38796,2.90077,1.96698,1.34615,0.24493,0.85714,0.63891,0.42231,0.22452,0.78571,0.61817,0.30197,1.03351,3.43732,2.31217,1.19322,0.000666536,0.000666536,0.000666536
8,56.1524,1.32111,2.73362,1.82753,1.29026,1,0.33164,0.7757,0.46705,1,0.33164,0.74405,0.40393,1.10966,2.98892,2.22013,1.36482,0.000761982,0.000761982,0.000761982
9,57.6292,1.45753,2.83568,1.81644,1.40614,0.50936,0.57143,0.59388,0.36729,0.65446,0.57143,0.64647,0.34872,1.18318,2.83949,1.88173,1.53634,0.000856768,0.000856768,0.000856768
10,59.0037,1.45178,2.61502,1.69582,1.40672,1,0.61238,0.75103,0.44557,1,0.63629,0.78759,0.42612,1.28073,2.56163,1.92538,1.46953,0.000950894,0.000950894,0.000950894
11,60.4419,1.45722,2.69854,1.69737,1.39241,0.35978,0.35714,0.42258,0.2883,0.35978,0.35714,0.42184,0.23923,1.2169,3.13398,2.03043,1.40704,0.00104436,0.00104436,0.00104436
12,61.8457,1.43536,2.76127,1.72098,1.38442,0.30053,0.35714,0.28821,0.21013,0.3154,0.35714,0.27313,0.16074,1.39929,4.91227,2.19329,1.65421,0.00113717,0.00113717,0.00113717
13,63.2591,1.33244,2.72561,1.64332,1.37588,0.35364,0.5,0.27529,0.1769,0.2799,0.28571,0.21424,0.11936,1.57239,5.51212,2.31843,1.90531,0.00122931,0.00122931,0.00122931
14,64.7722,1.3751,2.69863,1.60657,1.35526,0.25836,0.5,0.25666,0.15902,0.32691,0.62495,0.34049,0.13412,1.32716,4.4315,2.28438,1.72507,0.0013208,0.0013208,0.0013208
15,66.2393,1.37209,2.66183,1.60407,1.36133,0.60714,0.66325,0.678,0.37748,0.60714,0.66325,0.6952,0.28702,1.3083,4.17929,1.65453,1.65459,0.00141162,0.00141162,0.00141162
16,67.5949,1.45105,2.6718,1.54396,1.35676,0.60033,0.57143,0.50533,0.3045,0.58164,0.64286,0.56301,0.231,1.49562,3.66667,1.90126,2.09806,0.00150179,0.00150179,0.00150179
17,69.0532,1.34274,2.47017,1.47622,1.31122,0.46125,0.48984,0.46927,0.26219,0.38578,0.57143,0.5059,0.24376,1.28094,3.19677,1.99258,1.60632,0.0015913,0.0015913,0.0015913
18,70.5046,1.31765,2.55739,1.44221,1.27707,0.79686,0.21429,0.36675,0.24513,0.35049,0.28571,0.30218,0.12803,1.36586,3.2107,2.05525,1.64652,0.00168014,0.00168014,0.00168014
19,71.9999,1.2653,2.46302,1.502,1.33028,0.4573,0.35714,0.40654,0.2124,0.20941,0.5,0.23568,0.08827,1.48068,3.47908,2.15498,1.77391,0.00176833,0.00176833,0.00176833
20,73.4107,1.38601,2.54274,1.50885,1.34631,0.75666,0.28571,0.43163,0.22284,0.26225,0.68602,0.32298,0.12291,1.65995,4.49778,2.05099,1.97881,0.00185585,0.00185585,0.00185585
21,74.8663,1.35716,2.56929,1.51648,1.31425,0.68374,0.5,0.58975,0.24311,0.4332,0.70988,0.57471,0.26833,1.72881,4.09695,1.87758,2.2042,0.001868,0.001868,0.001868
22,76.3132,1.4215,2.54751,1.51444,1.34123,0.71979,0.73492,0.79941,0.36039,0.65165,0.66923,0.72069,0.31703,1.38324,3.77762,1.69835,1.57216,0.0018614,0.0018614,0.0018614
23,77.5969,1.43111,2.52197,1.49742,1.37934,0.82759,0.68721,0.75926,0.39909,0.91314,0.75244,0.7778,0.40109,1.29254,3.52774,1.63533,1.44787,0.0018548,0.0018548,0.0018548
24,78.9505,1.35681,2.55324,1.44435,1.28535,0.68271,0.61611,0.70277,0.43063,0.52014,0.71429,0.59873,0.29528,1.42487,3.28838,1.64203,1.40925,0.0018482,0.0018482,0.0018482
25,80.382,1.30698,2.34787,1.39009,1.26762,0.65628,0.78571,0.73408,0.43591,0.54489,0.71429,0.62252,0.30086,1.42979,3.68699,1.75827,1.44593,0.0018416,0.0018416,0.0018416
26,81.7239,1.21699,2.26557,1.39465,1.24967,0.56157,0.92857,0.68531,0.44365,0.56157,0.92857,0.69196,0.31274,1.33345,3.92086,1.96357,1.38739,0.001835,0.001835,0.001835
27,83.092,1.28678,2.44071,1.37234,1.27166,0.55406,0.78571,0.66597,0.48058,0.55406,0.78571,0.68498,0.34153,1.06241,4.22543,1.67812,1.2114,0.0018284,0.0018284,0.0018284
28,84.5603,1.27352,2.23657,1.32312,1.27449,0.68297,0.85714,0.83383,0.43207,0.68297,0.85714,0.83383,0.39844,1.28069,2.41616,1.51933,1.33246,0.0018218,0.0018218,0.0018218
29,85.891,1.30457,2.48255,1.3262,1.2752,0.60516,0.5,0.63289,0.34421,0.47693,0.78571,0.70127,0.35588,1.41003,2.58519,1.78806,1.40684,0.0018152,0.0018152,0.0018152
30,87.2438,1.2463,2.35271,1.31142,1.25206,0.70614,0.5,0.62394,0.35199,0.70614,0.5,0.64955,0.31634,1.36594,2.54335,1.9267,1.4164,0.0018086,0.0018086,0.0018086
31,88.6339,1.31532,2.47526,1.36216,1.25278,0.40979,0.78571,0.6132,0.3553,0.44896,0.85714,0.58344,0.2811,1.28963,2.40412,1.88376,1.42114,0.001802,0.001802,0.001802
32,90.0077,1.19984,2.24861,1.26953,1.18349,0.70921,0.69778,0.69942,0.47029,0.78096,0.76511,0.80347,0.41529,1.18616,2.07059,1.50701,1.25673,0.0017954,0.0017954,0.0017954
33,91.3989,1.21687,2.2514,1.23354,1.17466,0.84198,0.78571,0.87935,0.46898,0.7618,0.71429,0.79053,0.42341,1.23367,2.10423,1.53793,1.28363,0.0017888,0.0017888,0.0017888
34,92.8382,1.21316,2.09531,1.20454,1.22716,0.76041,0.9077,0.89447,0.51243,0.76041,0.9077,0.89008,0.46884,1.28164,2.30032,1.64865,1.37633,0.0017822,0.0017822,0.0017822
35,94.2442,1.30075,2.30938,1.26808,1.25593,0.68719,0.85714,0.82983,0.51869,0.74494,0.92857,0.89911,0.48037,1.25867,2.43126,1.71057,1.32246,0.0017756,0.0017756,0.0017756
36,95.7153,1.32761,2.26625,1.32411,1.2672,0.73859,0.85714,0.8525,0.52766,0.94224,0.78571,0.92559,0.45833,1.19342,2.36448,1.62356,1.28723,0.001769,0.001769,0.001769
37,97.1572,1.21617,2.28151,1.30325,1.23308,0.79528,0.78571,0.80496,0.47557,0.87028,0.85714,0.90175,0.46363,1.24154,2.11744,1.47644,1.38358,0.0017624,0.0017624,0.0017624
38,98.5903,1.21735,2.10455,1.25571,1.24448,0.79533,0.83379,0.79452,0.48744,0.86318,0.90242,0.90312,0.47804,1.26439,2.09426,1.3735,1.37819,0.0017558,0.0017558,0.0017558
39,99.9148,1.1723,2.09286,1.2096,1.19032,0.7952,0.85714,0.79843,0.47438,0.86281,0.92857,0.92095,0.43128,1.25712,2.19936,1.33384,1.33304,0.0017492,0.0017492,0.0017492
40,101.524,1.17949,2.1655,1.16478,1.20275,0.92243,0.84988,0.93696,0.52166,0.92243,0.84988,0.93545,0.52702,1.24465,2.14344,1.21745,1.33525,0.0017426,0.0017426,0.0017426
41,102.972,1.16073,2.14379,1.16501,1.1933,0.85503,0.84342,0.89189,0.54954,0.9274,0.91329,0.96444,0.5407,1.21975,2.20807,1.08113,1.34507,0.001736,0.001736,0.001736
42,104.404,1.2474,2.16276,1.15981,1.2264,0.91054,0.92857,0.93282,0.62831,0.98172,1,0.995,0.5706,1.20236,2.34731,1.00448,1.28671,0.0017294,0.0017294,0.0017294
43,105.699,1.2496,2.08529,1.22129,1.21162,0.98771,0.85714,0.97029,0.63627,0.98771,0.85714,0.97029,0.5791,1.12805,2.07256,0.99812,1.22666,0.0017228,0.0017228,0.0017228
44,107.123,1.10029,2.14296,1.17668,1.19294,0.69747,0.98853,0.92889,0.56524,0.80524,0.92857,0.94367,0.58895,1.22785,2.01508,1.01793,1.30721,0.0017162,0.0017162,0.0017162
45,108.558,1.23789,2.30058,1.26335,1.21541,0.78145,0.85714,0.90325,0.61302,0.85011,0.92857,0.94618,0.56106,1.16573,2.20644,1.08075,1.2427,0.0017096,0.0017096,0.0017096
46,109.874,1.16801,2.1544,1.11794,1.19946,0.8388,0.78571,0.85171,0.59165,0.85551,0.84653,0.93282,0.56104,1.21519,2.06588,1.18159,1.31118,0.001703,0.001703,0.001703
47,111.198,1.17685,2.33018,1.14566,1.21856,0.83583,0.78571,0.85496,0.58602,0.83583,0.78571,0.88071,0.54441,1.29293,2.06991,1.19404,1.34771,0.0016964,0.0016964,0.0016964
48,112.682,1.16578,2.14698,1.127,1.19919,0.84612,0.78551,0.90339,0.63413,0.84612,0.78551,0.90301,0.55292,1.21952,2.18756,1.28462,1.225,0.0016898,0.0016898,0.0016898
49,114.109,1.14868,2.19408,1.15799,1.20111,0.90977,0.85714,0.90885,0.60427,0.90977,0.85714,0.90225,0.53043,1.26094,2.19931,1.53664,1.25543,0.0016832,0.0016832,0.0016832
50,115.48,1.13841,2.14419,1.11021,1.21912,0.91523,0.77219,0.91682,0.60294,0.91523,0.77219,0.9224,0.55273,1.23947,2.16012,1.79418,1.26346,0.0016766,0.0016766,0.0016766
51,116.904,1.18406,2.10869,1.09462,1.19391,0.84511,0.77992,0.91406,0.60123,0.84511,0.77992,0.92325,0.55483,1.23991,2.12611,1.80232,1.26337,0.00167,0.00167,0.00167
52,118.342,1.09991,2.08053,1.08917,1.17695,0.80979,0.91308,0.87969,0.5017,0.80979,0.91308,0.93104,0.48086,1.29575,2.27856,1.65205,1.32153,0.0016634,0.0016634,0.0016634
53,119.793,1.18293,2.14003,1.1068,1.22092,0.92774,0.91773,0.92065,0.51214,0.92774,0.91773,0.92065,0.48731,1.28622,2.42445,1.84545,1.38254,0.0016568,0.0016568,0.0016568
54,121.223,1.04939,1.9658,0.98887,1.14537,0.81788,0.85714,0.91117,0.59284,0.81788,0.85714,0.91117,0.53416,1.11932,2.29913,1.48367,1.26529,0.0016502,0.0016502,0.0016502
55,122.586,1.05575,1.96695,1.00421,1.16178,0.84899,0.80416,0.92206,0.67478,0.84899,0.80416,0.92206,0.56653,1.04332,2.07472,1.05051,1.14296,0.0016436,0.0016436,0.0016436
56,124.076,1.11676,2.09733,1.05252,1.1705,0.91752,0.79523,0.95316,0.64757,0.91752,0.79523,0.95316,0.55438,1.12081,2.04479,1.07479,1.22072,0.001637,0.001637,0.001637
